ID,Hours,Treatment,Censor
1,2,BG_Z_i25,1
2,2,BG_Z_i25,1
3,2,BG_Z_i25,1
4,2,BG_Z_i25,1
5,2,BG_Z_i25,1
6,2,BG_Z_i25,1
7,2,BG_Z_i25,1
8,2,BG_Z_i25,1
9,2,BG_Z_i25,1
10,2,BG_Z_i25,1
11,2,BG_Z_i25,1
12,2,BG_Z_i25,1
13,2,BG_Z_i25,1
14,2,BG_Z_i25,1
15,2,BG_Z_i25,1
16,4,BG_Z_i25,1
17,4,BG_Z_i25,1
18,4,BG_Z_i25,1
19,4,BG_Z_i25,1
20,4,BG_Z_i25,1
21,4,BG_Z_i25,1
22,6,BG_Z_i25,1
23,21,BG_Z_i25,1
24,21,BG_Z_i25,1
25,21,BG_Z_i25,1
26,21,BG_Z_i25,1
27,44,BG_Z_i25,1
28,44,BG_Z_i25,1
29,54,BG_Z_i25,1
30,72,BG_Z_i25,1
31,42,C_rcon,1
32,42,C_rcon,1
33,42,C_rcon,1
34,42,Z_rcon,1
35,42,Z_rcon,1
36,42,Z_rcon,1
37,46,C_rcon,1
38,46,C_rcon,1
39,46,Z_rcon,1
40,46,Z_rcon,1
41,51,C_rcon,1
42,51,Z_rcon,1
43,66,C_rcon,1
44,66,C_rcon,1
45,66,C_rcon,1
46,66,C_rcon,1
47,66,C_rcon,1
48,66,C_rcon,1
49,66,C_rcon,1
50,66,C_rcon,1
51,66,C_rcon,1
52,66,C_rcon,1
53,66,C_rcon,1
54,66,C_rcon,1
55,66,C_rcon,1
56,66,C_rcon,1
57,66,C_rcon,1
58,66,C_rcon,1
59,66,C_rcon,1
60,66,C_rcon,1
61,66,Z_rcon,1
62,66,Z_rcon,1
63,66,Z_rcon,1
64,66,Z_rcon,1
65,66,Z_rcon,1
66,66,Z_rcon,1
67,66,Z_rcon,1
68,66,Z_rcon,1
69,66,Z_rcon,1
70,66,Z_rcon,1
71,66,Z_rcon,1
72,66,Z_rcon,1
73,66,Z_rcon,1
74,66,Z_rcon,1
75,66,Z_rcon,1
76,66,Z_rcon,1
77,66,Z_rcon,1
78,66,Z_rcon,1
79,66,Z_rcon,1
80,66,Z_rcon,1
81,66,Z_rcon,1
82,66,Z_rcon,1
83,66,Z_rcon,1
84,66,Z_rcon,1
85,66,Z_rcon,1
86,68,Z_rcon,1
87,71,C_rcon,1
88,71,C_rcon,1
89,74,C_rcon,1
90,74,C_rcon,1
91,74,Z_rcon,1
92,74,Z_rcon,1
93,74,Z_rcon,1
94,74,Z_rcon,1
95,92,C_rcon,1
96,92,C_rcon,1
97,92,C_rcon,1
98,92,C_rcon,1
99,92,C_rcon,1
100,92,C_rcon,1
101,92,C_rcon,1
102,92,C_rcon,1
103,92,C_rcon,1
104,92,C_rcon,1
105,92,C_rcon,1
106,92,C_rcon,1
107,92,C_rcon,1
108,92,Z_rcon,1
109,92,Z_rcon,1
110,92,Z_rcon,1
111,92,Z_rcon,1
112,92,Z_rcon,1
113,92,Z_rcon,1
114,92,Z_rcon,1
115,92,Z_rcon,1
116,92,Z_rcon,1
117,92,Z_rcon,1
118,99,C_rcon,1
119,99,C_rcon,1
120,99,C_rcon,1
121,99,Z_rcon,1
122,2,Z_rcon,1
123,9,C_rcon,1
124,9,Z_rcon,1
125,43,C_rcon,1
126,43,C_rcon,1
127,43,Z_rcon,1
128,62,C_rcon,1
129,62,C_rcon,1
130,62,C_rcon,1
131,62,C_rcon,1
132,62,C_rcon,1
