ID,Hours,Treatment,Event
1,4,Z_BG2c,1
2,4,Z_BG2c,1
3,4,Z_BG2c,1
4,4,Z_BG2c,1
5,4,Z_BG2c,1
6,4,Z_BG2c,1
7,4,Z_BG2c,1
8,4,Z_BG2c,1
9,4,Z_BG2c,1
10,4,Z_BG2c,1
11,4,Z_BG2c,1
12,4,Z_BG2c,1
13,4,Z_BG2c,1
14,4,Z_BG2c,1
15,4,Z_BG2c,1
16,4,Z_BG2c,1
17,4,Z_BG2c,1
18,8,Z_BG2c,1
19,8,Z_BG2c,1
20,8,Z_BG2c,1
21,8,Z_BG2c,1
22,8,Z_BG2c,1
23,8,Z_BG2c,1
24,8,Z_BG2c,1
25,8,Z_BG2c,1
26,8,Z_BG2c,1
27,8,Z_BG2c,1
28,8,Z_BG2c,1
29,8,Z_BG2c,1
30,8,Z_BG2c,1
31,8,Z_BG2c,1
32,8,Z_BG2c,1
33,8,Z_BG2c,1
34,20,Z_BG2c,1
35,20,Z_BG2c,1
36,20,Z_BG2c,1
37,20,Z_BG2c,1
38,20,Z_BG2c,1
39,20,Z_BG2c,1
40,20,Z_BG2c,1
41,20,Z_BG2c,1
42,20,Z_BG2c,1
43,20,Z_BG2c,1
44,20,Z_BG2c,1
45,20,Z_BG2c,1
46,24,Z_BG2c,1
47,24,Z_BG2c,1
48,28,Z_BG2c,1
49,28,Z_BG2c,1
50,28,Z_BG2c,1
51,48,M_BG2c,1
52,52,M_BG2c,1
53,52,M_BG2c,1
54,52,M_BG2c,1
55,68,M_BG2c,1
56,68,M_BG2c,1
57,68,M_BG2c,1
58,68,M_BG2c,1
59,68,M_BG2c,1
60,68,M_BG2c,1
61,68,M_BG2c,1
62,68,M_BG2c,1
63,68,M_BG2c,1
64,68,M_BG2c,1
65,68,M_BG2c,1
66,68,M_BG2c,1
67,68,M_BG2c,1
68,68,M_BG2c,1
69,68,M_BG2c,1
70,68,M_BG2c,1
71,68,M_BG2c,1
72,68,M_BG2c,1
73,68,M_BG2c,1
74,68,M_BG2c,1
75,68,M_BG2c,1
76,68,M_BG2c,1
77,68,M_BG2c,1
78,68,M_BG2c,1
79,68,M_BG2c,1
80,68,M_BG2c,1
81,68,M_BG2c,1
82,68,M_BG2c,1
83,68,M_BG2c,1
84,68,M_BG2c,1
85,68,M_BG2c,1
86,68,M_BG2c,1
87,68,M_BG2c,1
88,68,M_BG2c,1
89,68,M_BG2c,1
90,72,M_BG2c,1
91,72,M_BG2c,1
92,72,M_BG2c,1
93,72,M_BG2c,1
94,72,M_BG2c,1
95,72,M_BG2c,1
96,72,M_BG2c,1
97,72,M_BG2c,1
98,76,M_BG2c,1
99,92,M_BG2c,1
100,92,M_BG2c,1
101,2,Z_BA2c,1
102,4,Z_BA2c,1
103,4,Z_BA2c,1
104,4,Z_BA2c,1
105,4,Z_BA2c,1
106,4,Z_BA2c,1
107,4,Z_BA2c,1
108,4,Z_BA2c,1
109,6,Z_BA2c,1
110,6,Z_BA2c,1
111,6,Z_BA2c,1
112,6,Z_BA2c,1
113,6,Z_BA2c,1
114,8,Z_BA2c,1
115,8,Z_BA2c,1
116,8,Z_BA2c,1
117,8,Z_BA2c,1
118,8,Z_BA2c,1
119,8,Z_BA2c,1
120,8,Z_BA2c,1
121,8,Z_BA2c,1
122,20,Z_BA2c,1
123,20,Z_BA2c,1
124,20,Z_BA2c,1
125,24,Z_BA2c,1
126,28,Z_BA2c,1
127,44,Z_BA2c,1
128,44,Z_BA2c,1
129,48,Z_BA2c,1
130,52,Z_BA2c,1
131,52,M_BA2c,1
132,52,M_BA2c,1
133,68,M_BA2c,1
134,68,M_BA2c,1
135,68,M_BA2c,1
136,68,M_BA2c,1
137,68,M_BA2c,1
138,68,M_BA2c,1
139,72,M_BA2c,1
140,76,M_BA2c,1
141,76,M_BA2c,1
142,92,M_BA2c,1
143,92,M_BA2c,1
144,92,M_BA2c,1
145,92,M_BA2c,1
146,96,M_BA2c,1
147,96,M_BA2c,1
148,96,M_BA2c,1
149,96,M_BA2c,1
150,96,M_BA2c,1
151,116,M_BA2c,1
152,140,M_BA2c,1
153,168,M_BA2c,1
154,44,C_BAn2c,1
155,76,C_BAn2c,1
156,96,C_BAn2c,1
157,120,C_BAn2c,1
158,120,C_BAn2c,1
159,168,C_BAn2c,0
160,168,C_BAn2c,0
161,168,C_BAn2c,0
162,168,C_BAn2c,0
163,168,C_BAn2c,0
164,168,C_BAn2c,0
165,168,C_BAn2c,0
166,168,C_BAn2c,0
167,168,C_BAn2c,0
168,168,C_BAn2c,0
169,168,C_BAn2c,0
170,168,C_BAn2c,0
171,168,C_BAn2c,0
172,168,C_BAn2c,0
173,168,C_BAn2c,0
174,168,C_BAn2c,0
175,168,C_BAn2c,0
176,168,C_BAn2c,0
177,168,C_BAn2c,0
178,168,C_BAn2c,0
179,168,C_BAn2c,0
180,168,C_BAn2c,0
181,168,C_BAn2c,0
182,168,C_BAn2c,0
183,168,C_BAn2c,0
